rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent,Year
17/03/2020 10:36,2019,2018,London Area Airports,GATWICK,282896,282848,48,283186,283186,0,-0.102406,-0.119356,,2019
17/03/2020 10:36,2019,2018,London Area Airports,HEATHROW,479811,477083,2728,480339,477367,2972,-0.109922,-0.059493,-8.20996,2019
17/03/2020 10:36,2019,2018,London Area Airports,LONDON CITY,80931,80931,0,78037,78037,0,3.708497,3.708497,,2019
17/03/2020 10:36,2019,2018,London Area Airports,LUTON,112745,110628,2117,106666,105081,1585,5.699098,5.278785,33.564669,2019
17/03/2020 10:36,2019,2018,London Area Airports,SOUTHEND,19162,19162,0,17088,17088,0,12.137172,12.137172,,2019
17/03/2020 10:36,2019,2018,London Area Airports,STANSTED,183147,172939,10208,185077,175599,9478,-1.042809,-1.514815,7.702047,2019
17/03/2020 10:36,2019,2018,Other UK Airports,ABERDEEN,78209,76549,1660,81552,79943,1609,-4.099225,-4.245525,3.169671,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BARRA,1366,1365,1,1390,1389,1,-1.726619,-1.727862,0.0,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BELFAST CITY (GEORGE BEST),34625,34625,0,35845,35845,0,-3.403543,-3.403543,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BELFAST INTERNATIONAL,47230,42984,4246,46115,42747,3368,2.417868,0.554425,26.068884,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BENBECULA,1974,1917,57,1960,1960,0,0.714286,-2.193878,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BIGGIN HILL,325,325,0,202,202,0,60.891089,60.891089,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BIRMINGHAM,102515,100288,2227,104553,101829,2724,-1.949251,-1.513321,-18.245228,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BLACKPOOL,4014,4014,0,4724,4724,0,-15.029636,-15.029636,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BOURNEMOUTH,4973,4973,0,4096,4096,0,21.411133,21.411133,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,BRISTOL,62556,62556,0,66147,66147,0,-5.428818,-5.428818,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,CAMPBELTOWN,1064,1063,1,1069,1069,0,-0.467727,-0.561272,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,CARDIFF WALES,16688,16687,1,17009,17008,1,-1.887236,-1.887347,0.0,2019
17/03/2020 10:36,2019,2018,Other UK Airports,CITY OF DERRY (EGLINTON),3063,3063,0,2324,2324,0,31.798623,31.798623,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,DONCASTER SHEFFIELD,9520,9270,250,8797,8650,147,8.218711,7.16763,70.068027,2019
17/03/2020 10:36,2019,2018,Other UK Airports,DUNDEE,1212,1212,0,1215,1215,0,-0.246914,-0.246914,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,EAST MIDLANDS INTERNATIONAL,56053,32851,23202,56947,34728,22219,-1.569881,-5.404861,4.424142,2019
17/03/2020 10:36,2019,2018,Other UK Airports,EDINBURGH,127335,122219,5116,125426,120395,5031,1.522013,1.515013,1.689525,2019
17/03/2020 10:36,2019,2018,Other UK Airports,EXETER,14528,14032,496,13512,13020,492,7.519242,7.772657,0.813008,2019
17/03/2020 10:36,2019,2018,Other UK Airports,GLASGOW,79276,78607,669,85877,85191,686,-7.686575,-7.728516,-2.478134,2019
17/03/2020 10:36,2019,2018,Other UK Airports,HUMBERSIDE,7340,7215,125,7618,7481,137,-3.649252,-3.555674,-8.759124,2019
17/03/2020 10:36,2019,2018,Other UK Airports,INVERNESS,12733,12473,260,12007,11896,111,6.046473,4.85037,134.234234,2019
17/03/2020 10:36,2019,2018,Other UK Airports,ISLAY,2021,2021,0,1832,1831,1,10.316594,10.376843,-0.0,2019
17/03/2020 10:36,2019,2018,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10692,9782,910,10587,9771,816,0.991782,0.112578,11.519608,2019
17/03/2020 10:36,2019,2018,Other UK Airports,KIRKWALL,11256,11212,44,11840,11782,58,-4.932432,-4.837888,-24.137931,2019
17/03/2020 10:36,2019,2018,Other UK Airports,LANDS END (ST JUST),8310,7389,921,8587,7704,883,-3.225806,-4.088785,4.303511,2019
17/03/2020 10:36,2019,2018,Other UK Airports,LEEDS BRADFORD,29746,29746,0,31525,31525,0,-5.64314,-5.64314,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,LERWICK (TINGWALL),904,904,0,955,955,0,-5.340314,-5.340314,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,LIVERPOOL (JOHN LENNON),34976,34732,244,35914,35886,28,-2.611795,-3.215739,771.428571,2019
17/03/2020 10:36,2019,2018,Other UK Airports,LYDD,13,13,0,58,58,0,-77.586207,-77.586207,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,MANCHESTER,195926,195230,696,194131,193451,680,0.924633,0.919613,2.352941,2019
17/03/2020 10:36,2019,2018,Other UK Airports,NEWCASTLE,40169,39751,418,42412,42083,329,-5.288598,-5.54143,27.051672,2019
17/03/2020 10:36,2019,2018,Other UK Airports,NEWQUAY,8206,8206,0,7631,7631,0,7.535054,7.535054,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,NORWICH,19729,19729,0,20575,20575,0,-4.111786,-4.111786,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,OXFORD (KIDLINGTON),0,0,0,3,2,1,-0.0,-0.0,-0.0,2019
17/03/2020 10:36,2019,2018,Other UK Airports,PRESTWICK,4542,3778,764,4760,4085,675,-4.579832,-7.5153,13.185185,2019
17/03/2020 10:36,2019,2018,Other UK Airports,SCATSTA,4820,4820,0,8081,8081,0,-40.353917,-40.353917,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,SOUTHAMPTON,32529,32508,21,35750,35731,19,-9.00979,-9.020179,10.526316,2019
17/03/2020 10:36,2019,2018,Other UK Airports,STORNOWAY,5858,5761,97,6903,6903,0,-15.138346,-16.543532,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,SUMBURGH,12600,12595,5,10474,10474,0,20.29788,20.250143,,2019
17/03/2020 10:36,2019,2018,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,3630,3630,0,3802,3799,3,-4.523935,-4.448539,-0.0,2019
